Start time,End time,Access_Token_DEV,Login_Icon_DEV,Satiro_Login,Satiro_Login_LH,Satiro Server,Satiro_Serve_LH,Access_Token_UAT,Login_Icon_UAT,Medusa_Login,Medusa_Login_LH,Medusa_Server,Medusa_Server_LH
2025-04-16 11:54:07,2025-04-16 12:08:07,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 12:09:44,2025-04-16 12:23:44,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 12:25:30,2025-04-16 12:39:30,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 12:41:13,2025-04-16 12:55:13,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 12:57:01,2025-04-16 13:11:01,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 13:12:38,2025-04-16 13:26:38,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,BAD,OK,WARN
2025-04-16 13:28:12,2025-04-16 13:42:12,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 13:43:47,2025-04-16 13:57:47,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 13:59:24,2025-04-16 14:13:24,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 14:15:02,2025-04-16 14:29:02,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 14:30:44,2025-04-16 14:44:44,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 14:46:27,2025-04-16 15:00:27,OK,OK,OK,OK,BAD,BAD,OK,OK,BAD,OK,WARN,BAD
2025-04-16 15:02:24,2025-04-16 15:16:24,OK,OK,OK,OK,BAD,BAD,OK,OK,BAD,OK,WARN,BAD
2025-04-16 15:18:21,2025-04-16 15:32:21,OK,OK,OK,OK,BAD,BAD,OK,OK,BAD,OK,WARN,BAD
2025-04-16 15:34:17,2025-04-16 15:48:17,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 15:49:53,2025-04-16 16:03:53,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 16:05:32,2025-04-16 16:19:32,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 16:21:10,2025-04-16 16:35:10,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 16:36:47,2025-04-16 16:50:47,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 16:52:24,2025-04-16 17:06:24,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 17:08:00,2025-04-16 17:22:00,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
